"physical","mental","temporal","performance","effort","frustration","PC1","PC2","PC3","PC1_class2","PC2_class2","PC3_class2","PC1_class3","PC2_class3","PC3_class3","workload_class","physical_class2_raw","mental_class2_raw","temporal_class2_raw","performance_class2_raw","effort_class2_raw","frustration_class2_raw","physical_class3_raw","mental_class3_raw","temporal_class3_raw","performance_class3_raw","effort_class3_raw","frustration_class3_raw"
1,1,1,1,1,1,-3.47419831645655,0.420407575459807,0.490326687807912,"Low","High","High","Low","High","High","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low"
2,3,3,2,3,3,-0.613873463100209,0.52917337417401,0.38399839005388,"Low","High","High","Medium","High","Medium","Medium","High","Low","High","Low","Low","High","Medium","Medium","Medium","Medium","Medium","Medium"
2,3,2,3,3,2,-1.01302528243293,-0.199976384825178,0.349881052191995,"Low","Low","High","Low","Medium","Medium","Medium","Low","Low","Low","High","Low","Low","Medium","Low","Medium","Medium","Low","Medium"
1,3,3,3,5,3,-0.0815097964407118,-0.505127857375659,-0.0919897426186538,"High","Low","Low","Medium","Low","Medium","Medium","Low","Low","High","High","High","High","Low","Medium","Medium","Medium","Medium","Medium"
2,4,2,2,3,3,-0.661126430212557,0.148099444442188,-0.199404349561652,"Low","High","Low","Medium","Medium","Medium","Medium","High","High","High","Low","Low","High","Medium","Medium","Medium","Medium","Medium","Medium"
1,5,1,1,1,1,-2.41341014361143,0.23704886852346,-1.00021679738248,"Low","High","Low","Low","Medium","Low","Low","Low","High","Low","Low","Low","Low","Low","Medium","Low","Low","Low","Low"
1,1,1,1,2,1,-3.18011089703721,0.334704645168601,0.185516704797451,"Low","High","High","Low","Medium","Medium","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low"
4,5,3,2,3,2,0.163351437984239,1.28203328758869,-0.123397346660369,"High","High","Low","Medium","High","Medium","Medium","High","High","High","Low","Low","High","High","Medium","Medium","Medium","Medium","Medium"
3,4,3,2,3,2,-0.379567056718841,0.952313562405729,0.0543802158639421,"Low","High","Low","Medium","High","Medium","Medium","High","High","High","Low","Low","Low","Medium","Medium","Medium","Medium","Medium","Medium"
3,3,2,2,4,1,-0.971738779156124,0.670636518899633,-0.240401375832483,"Low","High","Low","Low","High","Low","Medium","High","Low","Low","Low","High","Low","Medium","Medium","Medium","Medium","Medium","Low"
3,4,3,2,4,3,0.223132451022209,0.773190169065765,-0.0985891554808922,"High","High","Low","Medium","High","Medium","Medium","High","High","High","Low","High","High","Medium","Medium","Medium","Medium","Medium","High"
6,7,5,5,6,4,4.03930572087696,0.70598361982831,0.317302965591777,"High","High","High","High","High","Medium","High","High","High","High","High","High","High","High","High","High","High","High","High"
1,4,2,3,3,2,-1.02554969071345,-0.621375463476311,-0.21761312787889,"Low","Low","Low","Low","Low","Medium","Low","Low","High","Low","High","Low","Low","Low","Medium","Medium","Medium","Medium","Medium"
4,4,4,2,4,3,0.813303912837638,1.48398382398055,0.307036021610329,"High","High","High","High","High","Medium","High","High","High","High","Low","High","High","High","Medium","High","Medium","Medium","Medium"
3,5,2,2,4,2,-0.132732604411852,0.485536702382701,-0.833832506762051,"Low","High","Low","Medium","High","Low","Medium","High","High","Low","Low","Low","Low","Medium","Medium","Medium","Low","Medium","Medium"
6,6,6,4,6,5,4.1732604969984,1.48097305556158,0.72405617475126,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
5,6,5,5,5,3,2.89368771843283,0.555387287985315,0.648049899460922,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Medium","Medium"
2,4,2,2,4,3,-0.367039010793219,0.0623965141509822,-0.504214332572113,"Low","Low","Low","Medium","Medium","Low","Medium","Low","Low","Low","Low","Low","High","Medium","Medium","Medium","Low","Medium","Medium"
2,6,4,2,6,3,1.37642993511527,0.46977980609587,-1.43757230455236,"High","High","Low","High","High","Low","High","Low","High","High","Low","High","High","Medium","High","High","Low","High","Medium"
1,2,1,2,4,1,-2.10482873567463,-0.369876861198108,-0.468248990399394,"Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","High","Low","Low","Low","Low","Medium","Medium","Low"
1,3,2,5,4,3,-0.244226667558436,-1.72933111818261,0.659033656317226,"Low","Low","High","Medium","Low","High","Medium","Low","Low","High","High","High","High","Low","Medium","Medium","High","Medium","Medium"
2,4,2,2,3,2,-0.96973851853427,0.241519907490947,-0.351244961227279,"Low","High","Low","Low","Medium","Low","Medium","Low","High","Low","Low","Low","Low","Medium","Medium","Medium","Medium","Medium","Medium"
2,4,4,5,3,2,0.32089234005085,-0.550019493664216,1.05575920177362,"High","Low","High","Medium","Low","High","Medium","Low","High","High","High","Low","Low","Medium","Medium","High","High","Low","Medium"
1,3,2,2,3,2,-1.51265701323735,-0.0881998176920125,-0.173467398702968,"Low","Low","Low","Low","Medium","Medium","Low","Low","Low","High","Low","Low","High","Low","Medium","Medium","Medium","Low","Medium"
6,7,4,6,6,4,3.94876598986595,-0.116586602219638,0.435026239395519,"High","Low","High","High","Medium","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
3,4,3,4,4,2,0.358340921325739,-0.1080613059859,0.406550517096833,"High","Low","High","Medium","Medium","Medium","Medium","High","High","High","High","High","Low","Medium","Medium","Medium","High","Medium","Medium"
1,5,3,4,6,3,0.964881988713807,-1.16984611018525,-0.813581326102634,"High","Low","Low","High","Low","Low","Medium","Low","High","High","High","High","High","Low","Medium","Medium","High","High","Medium"
5,5,4,5,5,4,2.62465275321963,0.172572248672907,0.961759514106212,"High","High","High","High","Medium","High","High","High","High","High","High","High","High","High","Medium","High","High","Medium","High"
5,5,5,3,5,4,2.49328220491802,1.48247843977107,0.515546098180794,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","Medium","High","Medium","High","High"
3,5,1,1,5,1,-0.681617562950476,0.64535595119273,-1.82974011187775,"Low","High","Low","Medium","High","Low","Medium","High","High","Low","Low","High","Low","Medium","Medium","Low","Low","Medium","Low"
2,3,1,2,3,1,-1.85599766039089,0.0455457942760566,-0.341216569913243,"Low","Low","Low","Low","Medium","Low","Low","High","Low","Low","Low","Low","Low","Medium","Medium","Low","Low","Medium","Low"
1,5,2,2,4,3,-0.379563419073739,-0.359002564500151,-1.071708512643,"Low","Low","Low","Medium","Low","Low","Medium","Low","High","High","Low","High","High","Low","Medium","Medium","Medium","Medium","High"
1,1,1,2,1,1,-3.25228803714393,-0.0669283935904051,0.818816829929589,"Low","Low","High","Low","Medium","High","Low","Low","Low","Low","Low","Low","Low","Low","Low","Low","Medium","Low","Low"
