target,grouping_type,grouping_desc,class,count,percent
physical,7-class,"1,2,3,4,5,6,7",1,457,24.35
physical,7-class,"1,2,3,4,5,6,7",2,680,36.23
physical,7-class,"1,2,3,4,5,6,7",3,291,15.5
physical,7-class,"1,2,3,4,5,6,7",4,243,12.95
physical,7-class,"1,2,3,4,5,6,7",5,147,7.83
physical,7-class,"1,2,3,4,5,6,7",6,44,2.34
physical,7-class,"1,2,3,4,5,6,7",7,15,0.8
physical,3-class,"(1)/(2)/(3,4,5,6,7)",Low,457,24.35
physical,3-class,"(1)/(2)/(3,4,5,6,7)",Medium,680,36.23
physical,3-class,"(1)/(2)/(3,4,5,6,7)",High,740,39.42
physical,3-class,"(1)/(2,3)/(4,5,6,7)",Low,457,24.35
physical,3-class,"(1)/(2,3)/(4,5,6,7)",Medium,971,51.73
physical,3-class,"(1)/(2,3)/(4,5,6,7)",High,449,23.92
physical,3-class,"(1)/(2,3,4)/(5,6,7)",Low,457,24.35
physical,3-class,"(1)/(2,3,4)/(5,6,7)",Medium,1214,64.68
physical,3-class,"(1)/(2,3,4)/(5,6,7)",High,206,10.97
physical,3-class,"(1)/(2,3,4,5)/(6,7)",Low,457,24.35
physical,3-class,"(1)/(2,3,4,5)/(6,7)",Medium,1361,72.51
physical,3-class,"(1)/(2,3,4,5)/(6,7)",High,59,3.14
physical,3-class,"(1)/(2,3,4,5,6)/(7)",Low,457,24.35
physical,3-class,"(1)/(2,3,4,5,6)/(7)",Medium,1405,74.85
physical,3-class,"(1)/(2,3,4,5,6)/(7)",High,15,0.8
physical,3-class,"(1,2)/(3)/(4,5,6,7)",Low,1137,60.58
physical,3-class,"(1,2)/(3)/(4,5,6,7)",Medium,291,15.5
physical,3-class,"(1,2)/(3)/(4,5,6,7)",High,449,23.92
physical,3-class,"(1,2)/(3,4)/(5,6,7)",Low,1137,60.58
physical,3-class,"(1,2)/(3,4)/(5,6,7)",Medium,534,28.45
physical,3-class,"(1,2)/(3,4)/(5,6,7)",High,206,10.97
physical,3-class,"(1,2)/(3,4,5)/(6,7)",Low,1137,60.58
physical,3-class,"(1,2)/(3,4,5)/(6,7)",Medium,681,36.28
physical,3-class,"(1,2)/(3,4,5)/(6,7)",High,59,3.14
physical,3-class,"(1,2)/(3,4,5,6)/(7)",Low,1137,60.58
physical,3-class,"(1,2)/(3,4,5,6)/(7)",Medium,725,38.63
physical,3-class,"(1,2)/(3,4,5,6)/(7)",High,15,0.8
physical,3-class,"(1,2,3)/(4)/(5,6,7)",Low,1428,76.08
physical,3-class,"(1,2,3)/(4)/(5,6,7)",Medium,243,12.95
physical,3-class,"(1,2,3)/(4)/(5,6,7)",High,206,10.97
physical,3-class,"(1,2,3)/(4,5)/(6,7)",Low,1428,76.08
physical,3-class,"(1,2,3)/(4,5)/(6,7)",Medium,390,20.78
physical,3-class,"(1,2,3)/(4,5)/(6,7)",High,59,3.14
